,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
738,22,athletic,mostly vegetarian,socially,often,graduated from college/university,white,68.0,60000,entertainment / media,2012-06-26-09-44,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and has cats,other,m,scorpio,trying to quit,"english, japanese",single
743,47,fit,mostly anything,often,never,graduated from college/university,white,73.0,-1,banking / financial / real estate,2012-06-29-19-01,"san francisco, california","has kids, but doesn&rsquo;t want more",straight,likes dogs and dislikes cats,atheism and laughing about it,m,libra but it doesn&rsquo;t matter,no,"english (fluently), french (fluently)",single
744,39,average,anything,socially,never,graduated from high school,hispanic / latin,60.0,-1,other,2012-06-28-13-21,"san pablo, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,catholicism and very serious about it,f,gemini,no,english (fluently),single
750,30,fit,strictly anything,socially,never,graduated from masters program,"hispanic / latin, white",70.0,-1,other,2012-06-28-17-27,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and somewhat serious about it,m,capricorn but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
753,38,curvy,mostly anything,rarely,never,graduated from college/university,pacific islander,68.0,50000,banking / financial / real estate,2012-06-08-01-21,"san leandro, california",has kids,straight,likes dogs and likes cats,christianity and somewhat serious about it,f,gemini and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), hawaiian (fluently)",single
755,24,athletic,strictly anything,socially,never,graduated from masters program,white,72.0,-1,computer / hardware / software,2012-06-29-22-33,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and very serious about it,m,gemini,sometimes,english,single
764,23,average,strictly anything,often,sometimes,graduated from college/university,white,68.0,-1,science / tech / engineering,2012-06-28-08-11,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,atheism,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
765,26,a little extra,mostly anything,socially,never,graduated from high school,black,74.0,-1,transportation,2012-03-01-12-08,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,other and laughing about it,m,pisces and it&rsquo;s fun to think about,no,english (fluently),single
778,25,fit,mostly vegetarian,socially,never,graduated from two-year college,"pacific islander, hispanic / latin",68.0,50000,medicine / health,2012-06-29-23-17,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,catholicism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (okay), tagalog (poorly)",single
783,24,athletic,mostly anything,socially,never,working on college/university,white,74.0,40000,medicine / health,2012-06-25-11-33,"richmond, california",doesn&rsquo;t have kids,straight,likes dogs,catholicism,m,cancer,no,"english (fluently), croatian (okay)",single
798,21,athletic,mostly kosher,rarely,never,working on college/university,black,66.0,40000,artistic / musical / writer,2012-06-29-20-16,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,christianity and very serious about it,m,aries but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (poorly), portuguese (poorly)",single
800,31,athletic,mostly vegan,desperately,sometimes,graduated from two-year college,"native american, white",69.0,-1,science / tech / engineering,2012-06-29-08-07,"martinez, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english, spanish (poorly)",single
821,30,fit,mostly vegetarian,socially,never,graduated from college/university,white,71.0,-1,other,2012-04-25-19-45,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,other,m,pisces and it&rsquo;s fun to think about,no,"english, french (poorly)",single
822,34,athletic,mostly vegetarian,often,sometimes,graduated from ph.d program,white,68.0,-1,education / academia,2012-05-29-15-58,"palo alto, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,other,f,scorpio and it&rsquo;s fun to think about,no,english,single
826,20,average,mostly anything,socially,sometimes,working on two-year college,asian,67.0,20000,other,2012-04-19-22-16,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and somewhat serious about it,m,sagittarius and it&rsquo;s fun to think about,trying to quit,"english (fluently), chinese (okay), japanese (poorly)",single
866,26,fit,mostly anything,rarely,sometimes,dropped out of ph.d program,"middle eastern, white",69.0,-1,computer / hardware / software,2012-06-29-17-31,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,atheism and laughing about it,m,virgo but it doesn&rsquo;t matter,no,"english (fluently), c++ (okay), french (okay), lisp (fluently)",available
869,24,average,strictly vegetarian,very often,sometimes,graduated from college/university,white,68.0,30000,artistic / musical / writer,2012-06-19-09-15,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,atheism and very serious about it,m,virgo but it doesn&rsquo;t matter,when drinking,"english (fluently), french (poorly), spanish (poorly)",single
884,36,fit,strictly anything,not at all,never,graduated from masters program,white,73.0,150000,science / tech / engineering,2012-06-30-00-45,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other and laughing about it,m,scorpio but it doesn&rsquo;t matter,no,english (poorly),single
892,33,used up,strictly anything,often,sometimes,graduated from space camp,white,70.0,-1,science / tech / engineering,2012-06-29-23-22,"menlo park, california",doesn&rsquo;t have kids,straight,likes dogs,agnosticism and laughing about it,m,virgo but it doesn&rsquo;t matter,yes,english (poorly),single
900,21,curvy,anything,socially,never,working on college/university,"asian, black",66.0,20000,sales / marketing / biz dev,2012-05-13-08-54,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,has dogs,christianity,f,taurus and it&rsquo;s fun to think about,no,english,single
905,38,curvy,mostly other,socially,never,graduated from masters program,white,65.0,-1,executive / management,2012-06-29-18-35,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,judaism and laughing about it,f,scorpio but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",single
915,34,average,mostly anything,socially,sometimes,dropped out of space camp,white,64.0,40000,entertainment / media,2012-06-29-19-52,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,agnosticism,f,taurus and it&rsquo;s fun to think about,no,english (fluently),single
919,22,average,strictly vegan,not at all,never,graduated from two-year college,hispanic / latin,64.0,-1,artistic / musical / writer,2012-06-18-21-02,"san francisco, california",doesn&rsquo;t want kids,gay,has dogs and has cats,atheism and laughing about it,f,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
934,34,curvy,strictly anything,socially,never,graduated from masters program,"white, other",68.0,100000,computer / hardware / software,2012-06-17-19-06,"san francisco, california","doesn&rsquo;t have kids, but might want them",bisexual,has cats,atheism and very serious about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), c++ (fluently), lisp (okay), spanish (poorly), japanese (poorly)",single
935,40,average,mostly anything,rarely,never,graduated from space camp,white,70.0,100000,science / tech / engineering,2012-06-29-22-01,"palo alto, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity and laughing about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), c++ (poorly)",single
937,23,average,strictly vegetarian,rarely,sometimes,dropped out of two-year college,white,71.0,1000000,unemployed,2012-02-25-08-57,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,english,available
950,28,thin,strictly anything,socially,sometimes,graduated from college/university,other,69.0,-1,computer / hardware / software,2012-06-29-22-51,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism and laughing about it,m,taurus but it doesn&rsquo;t matter,no,english (poorly),single
952,26,thin,strictly anything,socially,sometimes,graduated from college/university,asian,68.0,-1,sales / marketing / biz dev,2012-06-30-00-49,"burlingame, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,has dogs,agnosticism and laughing about it,f,leo but it doesn&rsquo;t matter,when drinking,"english (fluently), korean (poorly)",single
981,27,full figured,strictly other,rarely,sometimes,working on space camp,white,66.0,-1,student,2012-06-29-22-12,"oakland, california","doesn&rsquo;t have kids, but might want them",bisexual,has dogs and likes cats,atheism and somewhat serious about it,f,virgo and it&rsquo;s fun to think about,no,english (fluently),seeing someone
992,22,average,mostly anything,rarely,never,working on high school,white,61.0,20000,other,2012-02-19-00-13,"hayward, california",has a kid,straight,has dogs,catholicism but not too serious about it,f,aries but it doesn&rsquo;t matter,no,english (fluently),single
994,30,athletic,other,socially,never,graduated from college/university,black,72.0,-1,entertainment / media,2012-06-29-01-02,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and dislikes cats,christianity,m,sagittarius,no,"english (fluently), spanish (okay), german (poorly)",single
1008,35,athletic,mostly anything,socially,sometimes,graduated from med school,white,67.0,-1,medicine / health,2012-06-29-21-42,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other but not too serious about it,f,gemini but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
1028,31,fit,mostly vegetarian,socially,never,graduated from masters program,white,66.0,70000,computer / hardware / software,2012-06-28-09-25,"san mateo, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity but not too serious about it,f,virgo and it&rsquo;s fun to think about,no,"english (fluently), russian (fluently), ukrainian (fluently)",single
1045,35,average,mostly anything,socially,never,graduated from ph.d program,white,66.0,-1,science / tech / engineering,2012-06-28-23-47,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism,f,aries and it&rsquo;s fun to think about,no,"english (fluently), swedish (poorly)",single
1057,26,athletic,mostly anything,socially,never,working on med school,"hispanic / latin, white",63.0,-1,student,2012-06-26-08-49,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and has cats,catholicism but not too serious about it,f,capricorn and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
1058,29,a little extra,mostly anything,often,sometimes,graduated from college/university,white,68.0,-1,political / government,2012-06-29-16-39,"san francisco, california","doesn&rsquo;t have kids, but wants them",gay,has dogs and likes cats,agnosticism and laughing about it,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)",single
1061,33,thin,strictly vegetarian,socially,sometimes,graduated from college/university,white,65.0,-1,entertainment / media,2012-06-29-17-32,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,other,f,libra and it&rsquo;s fun to think about,no,english (fluently),single
1079,26,average,mostly anything,socially,never,graduated from college/university,white,66.0,-1,computer / hardware / software,2012-06-27-15-30,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,catholicism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,no,"english (fluently), japanese (poorly)",single
1086,21,fit,mostly vegetarian,socially,never,working on two-year college,"native american, white",68.0,20000,other,2012-06-29-03-24,"san francisco, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,agnosticism and laughing about it,f,leo but it doesn&rsquo;t matter,no,english (fluently),single
1095,23,fit,mostly anything,socially,never,graduated from college/university,white,72.0,-1,computer / hardware / software,2012-06-29-23-22,"mountain view, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,m,pisces and it&rsquo;s fun to think about,no,"english (fluently), german (poorly), c++ (okay)",single
1096,22,fit,mostly anything,socially,never,graduated from college/university,hispanic / latin,69.0,-1,science / tech / engineering,2012-06-29-21-37,"san francisco, california","doesn&rsquo;t have kids, but might want them",gay,likes dogs and dislikes cats,catholicism but not too serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), german (okay), c++ (okay)",single
1107,24,fit,mostly anything,socially,never,graduated from college/university,asian,67.0,-1,banking / financial / real estate,2012-06-29-07-25,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,m,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), chinese (fluently)",single
1111,24,overweight,mostly anything,not at all,never,graduated from college/university,asian,68.0,20000,unemployed,2012-06-29-11-44,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and dislikes cats,atheism but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,no,english (fluently),single
1128,28,fit,mostly anything,socially,never,graduated from college/university,white,69.0,100000,computer / hardware / software,2012-05-29-08-09,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and dislikes cats,agnosticism and laughing about it,m,cancer and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
1131,27,curvy,mostly anything,socially,never,graduated from college/university,middle eastern,62.0,-1,other,2012-06-24-04-57,"san francisco, california",doesn&rsquo;t have kids,straight,has dogs,islam,f,scorpio,no,english (fluently),single
1145,44,average,mostly anything,not at all,never,graduated from masters program,white,71.0,-1,other,2012-06-29-19-49,"crockett, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,other and very serious about it,m,cancer and it&rsquo;s fun to think about,no,english,single
1146,31,fit,strictly anything,socially,sometimes,graduated from law school,asian,72.0,-1,law / legal services,2012-06-28-20-25,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,has dogs,atheism and laughing about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), vietnamese (okay), c++ (okay), spanish (poorly)",single
1151,37,fit,mostly anything,often,sometimes,working on space camp,white,68.0,-1,artistic / musical / writer,2012-01-27-01-18,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,atheism,m,sagittarius,no,"english, spanish",single
1153,18,average,mostly anything,socially,sometimes,working on college/university,"hispanic / latin, white",71.0,20000,student,2012-05-29-22-01,"alameda, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and laughing about it,m,leo but it doesn&rsquo;t matter,when drinking,"english (okay), sanskrit (fluently), c++ (poorly)",single
1166,25,athletic,mostly anything,socially,never,graduated from college/university,other,69.0,30000,sales / marketing / biz dev,2012-06-29-08-32,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,buddhism but not too serious about it,m,leo but it doesn&rsquo;t matter,no,"english (fluently), thai (fluently), hindi (poorly)",single
1172,30,athletic,mostly anything,socially,never,graduated from masters program,asian,69.0,250000,executive / management,2012-06-29-16-06,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,christianity but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), chinese (poorly), spanish (poorly)",single
1184,34,a little extra,anything,socially,never,graduated from college/university,white,67.0,50000,education / academia,2012-06-29-17-04,"san mateo, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,other,f,pisces but it doesn&rsquo;t matter,no,english,single
1206,37,average,mostly other,rarely,never,graduated from law school,white,72.0,-1,other,2012-06-29-20-49,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",gay,has dogs and likes cats,christianity but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",single
1210,42,average,strictly anything,socially,never,graduated from college/university,white,73.0,-1,banking / financial / real estate,2012-06-29-21-40,"san rafael, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism and laughing about it,m,gemini but it doesn&rsquo;t matter,no,english (fluently),single
1237,35,athletic,anything,socially,never,graduated from college/university,white,73.0,-1,hospitality / travel,2012-06-29-17-23,"burlingame, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,christianity but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,english,single
1246,18,athletic,anything,not at all,never,working on high school,"asian, white",69.0,-1,student,2012-05-24-19-09,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,no,english,single
1248,25,fit,mostly anything,socially,never,graduated from college/university,asian,71.0,-1,medicine / health,2012-06-28-01-02,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,m,leo but it doesn&rsquo;t matter,no,english,single
1249,28,a little extra,anything,socially,never,graduated from college/university,asian,70.0,-1,executive / management,2012-06-18-17-36,"alameda, california",doesn&rsquo;t have kids,straight,likes dogs,buddhism but not too serious about it,m,aquarius,no,"english (fluently), chinese (fluently)",single
1254,31,fit,mostly anything,rarely,never,graduated from college/university,black,65.0,-1,other,2012-05-29-19-46,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,christianity but not too serious about it,f,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
1271,30,athletic,mostly anything,socially,never,graduated from med school,white,64.0,-1,medicine / health,2012-06-30-01-06,"martinez, california","doesn&rsquo;t have kids, but might want them",bisexual,likes dogs and has cats,catholicism and somewhat serious about it,f,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
1282,25,athletic,strictly anything,socially,never,working on college/university,white,68.0,1000000,artistic / musical / writer,2012-06-29-22-39,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,other and laughing about it,f,sagittarius and it&rsquo;s fun to think about,no,english (fluently),single
1298,25,fit,strictly anything,socially,never,graduated from masters program,white,68.0,-1,sales / marketing / biz dev,2012-06-24-22-43,"san mateo, california",doesn&rsquo;t have kids,straight,has dogs and likes cats,agnosticism and somewhat serious about it,m,pisces but it doesn&rsquo;t matter,no,"english (fluently), french (fluently), spanish (fluently), italian (okay), breton (poorly)",single
1302,25,jacked,strictly other,socially,never,graduated from college/university,asian,64.0,-1,retired,2012-02-20-22-41,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other and very serious about it,f,libra and it matters a lot,no,"english (fluently), chinese (fluently), c++ (okay), thai (okay), ancient greek (poorly)",single
1304,25,fit,mostly anything,often,never,graduated from masters program,white,68.0,-1,science / tech / engineering,2012-06-29-21-11,"berkeley, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and somewhat serious about it,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), portuguese (poorly)",single
1307,39,athletic,mostly anything,socially,never,college/university,white,69.0,-1,banking / financial / real estate,2012-06-29-14-09,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,buddhism but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,english (fluently),single
1313,35,fit,mostly anything,not at all,never,working on two-year college,white,72.0,-1,construction / craftsmanship,2012-06-27-23-45,"san francisco, california",has a kid,straight,likes dogs and likes cats,other and laughing about it,m,taurus and it&rsquo;s fun to think about,no,english (fluently),single
1315,28,average,anything,socially,never,graduated from space camp,white,69.0,-1,science / tech / engineering,2012-06-11-11-53,"palo alto, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,christianity and laughing about it,m,leo but it doesn&rsquo;t matter,no,"english (fluently), german (fluently), italian (okay), french (okay)",single
1320,37,a little extra,strictly anything,not at all,sometimes,graduated from college/university,white,72.0,70000,computer / hardware / software,2012-06-29-10-52,"alameda, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,atheism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,no,english,single
1324,40,fit,mostly vegetarian,socially,never,graduated from college/university,white,68.0,-1,medicine / health,2012-06-29-23-39,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,judaism and somewhat serious about it,f,pisces but it doesn&rsquo;t matter,no,"english, french (fluently), spanish (poorly)",single
1325,29,thin,anything,socially,never,graduated from college/university,white,64.0,-1,sales / marketing / biz dev,2012-06-29-17-33,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,f,gemini and it&rsquo;s fun to think about,no,english,single
1337,41,average,mostly vegetarian,socially,never,graduated from college/university,white,68.0,-1,medicine / health,2012-06-29-19-48,"san rafael, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other,f,virgo and it&rsquo;s fun to think about,no,english,single
1339,30,fit,mostly anything,socially,never,dropped out of space camp,white,62.0,50000,other,2012-06-29-20-01,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,agnosticism and laughing about it,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), sign language (okay)",single
1352,38,overweight,mostly anything,rarely,never,graduated from ph.d program,white,70.0,-1,medicine / health,2012-06-29-23-47,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,has dogs,agnosticism and laughing about it,f,virgo but it doesn&rsquo;t matter,no,english,single
1364,23,athletic,anything,socially,never,working on ph.d program,white,75.0,20000,student,2012-06-29-23-16,"stanford, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,agnosticism,m,leo,no,"english (fluently), c++ (poorly), french (poorly)",single
1379,32,a little extra,strictly anything,often,sometimes,graduated from college/university,white,65.0,-1,artistic / musical / writer,2012-06-19-21-56,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,atheism but not too serious about it,f,aries and it&rsquo;s fun to think about,sometimes,"english (fluently), spanish (poorly)",single
1387,22,curvy,mostly vegetarian,socially,never,dropped out of college/university,"white, other",63.0,30000,artistic / musical / writer,2012-05-27-17-57,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,has cats,other and very serious about it,f,cancer and it&rsquo;s fun to think about,no,"english (fluently), greek (poorly), spanish (poorly)",single
1403,51,curvy,mostly anything,rarely,never,working on college/university,white,68.0,-1,clerical / administrative,2011-07-19-01-41,"alameda, california",has kids,straight,likes dogs and has cats,agnosticism but not too serious about it,f,leo and it&rsquo;s fun to think about,no,english (fluently),single
1405,28,average,mostly anything,socially,never,graduated from high school,white,73.0,100000,computer / hardware / software,2012-05-12-02-54,"palo alto, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and laughing about it,m,capricorn and it&rsquo;s fun to think about,no,"english (fluently), swedish (fluently), spanish (poorly), french (poorly), german (poorly)",single
1411,35,athletic,mostly anything,socially,never,graduated from masters program,white,65.0,-1,medicine / health,2012-06-19-22-16,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism,f,scorpio and it&rsquo;s fun to think about,no,"english, spanish",single
1417,57,fit,mostly anything,socially,never,graduated from college/university,asian,62.0,-1,medicine / health,2012-06-22-14-31,"san mateo, california",has kids,straight,likes dogs and likes cats,other and somewhat serious about it,f,libra and it&rsquo;s fun to think about,no,"english (fluently), chinese (okay), spanish (okay)",single
1418,40,skinny,mostly anything,socially,never,graduated from college/university,asian,65.0,-1,artistic / musical / writer,2012-05-18-02-07,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and has cats,buddhism but not too serious about it,f,gemini but it doesn&rsquo;t matter,no,"english (okay), japanese (fluently)",single
1425,18,thin,mostly anything,not at all,never,working on college/university,white,63.0,-1,student,2012-06-29-23-54,"martinez, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",bisexual,likes dogs and has cats,atheism and laughing about it,f,aquarius but it doesn&rsquo;t matter,no,"english, sign language",single
1432,20,curvy,mostly anything,socially,never,working on two-year college,white,73.0,-1,other,2012-06-27-12-24,"pacifica, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and has cats,catholicism and somewhat serious about it,f,leo and it&rsquo;s fun to think about,no,"english (fluently), sign language (poorly), spanish (poorly)",single
1434,25,thin,strictly vegetarian,not at all,never,dropped out of college/university,hispanic / latin,67.0,20000,computer / hardware / software,2012-06-26-22-05,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,atheism and laughing about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
1449,21,athletic,mostly anything,socially,sometimes,graduated from college/university,white,77.0,-1,political / government,2012-06-29-22-01,"berkeley, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,atheism but not too serious about it,m,cancer but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
1455,27,athletic,mostly vegan,socially,never,graduated from college/university,other,71.0,70000,computer / hardware / software,2012-06-29-23-40,"oakland, california",doesn&rsquo;t have kids,straight,has dogs,judaism,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), hebrew (okay)",single
1458,23,average,mostly anything,socially,never,graduated from college/university,white,68.0,-1,sales / marketing / biz dev,2012-06-29-07-31,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,christianity and somewhat serious about it,m,libra but it doesn&rsquo;t matter,no,"english (fluently), japanese (okay)",single
1471,49,skinny,mostly vegetarian,socially,sometimes,graduated from college/university,white,70.0,-1,entertainment / media,2012-06-04-20-35,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,leo but it doesn&rsquo;t matter,no,english (fluently),single
1482,29,average,anything,socially,never,graduated from college/university,pacific islander,60.0,-1,sales / marketing / biz dev,2012-06-29-18-31,"hayward, california","doesn&rsquo;t have kids, but wants them",straight,has dogs,catholicism but not too serious about it,f,gemini and it&rsquo;s fun to think about,no,"english, tagalog (okay)",single
1498,32,fit,strictly vegetarian,often,never,graduated from college/university,white,65.0,-1,executive / management,2012-06-28-23-56,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism,f,aquarius and it&rsquo;s fun to think about,no,english (fluently),single
1501,34,athletic,strictly anything,socially,never,graduated from ph.d program,asian,68.0,-1,medicine / health,2012-06-29-08-08,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
1521,35,average,strictly anything,socially,never,graduated from law school,white,68.0,-1,law / legal services,2012-06-10-21-15,"san francisco, california",doesn&rsquo;t want kids,straight,has dogs and likes cats,agnosticism and laughing about it,m,capricorn but it doesn&rsquo;t matter,no,"english, spanish (okay), chinese (poorly), arabic (poorly)",single
1522,33,a little extra,mostly vegetarian,socially,sometimes,working on college/university,white,67.0,-1,computer / hardware / software,2012-06-29-16-15,"fairfax, california","has kids, and might want more",straight,has dogs and has cats,agnosticism and laughing about it,m,virgo but it doesn&rsquo;t matter,no,english,married
1524,27,curvy,mostly anything,socially,never,graduated from masters program,hispanic / latin,65.0,-1,computer / hardware / software,2012-06-30-00-07,"san francisco, california",has a kid,straight,has cats,catholicism and somewhat serious about it,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently), french (okay), german (okay)",single
1525,40,average,mostly anything,socially,never,graduated from masters program,indian,64.0,-1,banking / financial / real estate,2012-06-29-08-48,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,atheism,f,scorpio,no,"english (fluently), farsi (okay), bengali (fluently), hindi (fluently), urdu (fluently)",single
1547,25,fit,mostly anything,socially,sometimes,graduated from college/university,white,70.0,20000,artistic / musical / writer,2012-06-26-09-23,"oakland, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,judaism and laughing about it,m,pisces and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), hindi (poorly)",single
1560,23,thin,strictly anything,socially,sometimes,working on college/university,hispanic / latin,71.0,60000,computer / hardware / software,2012-05-23-06-36,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism and laughing about it,m,aries but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (okay), lisp (fluently)",single
1567,24,athletic,mostly anything,often,never,working on college/university,white,70.0,-1,student,2012-06-30-01-21,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,atheism,m,scorpio but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay), french (poorly)",single
